v = 2
6 17 2
6 18 5
6 19 5
6 20 4
6 21 5
6 22 9
6 23 6
6 24 4
6 25 7
6 26 7
6 27 7
6 28 2
6 29 6
6 30 7
6 31 7
6 32 8
6 33 7
6 34 6
6 35 5
6 36 9
6 37 10
6 38 10
6 39 7
7 8 10
7 9 3
7 10 10
7 11 10
7 12 3
7 13 10
7 14 8
7 15 8
7 16 8
7 17 4
7 18 6
7 19 9
7 20 4
7 21 5
7 22 8
7 23 6
7 24 6
7 25 5
7 26 6
7 27 8
7 28 8
7 29 4
7 30 8
7 31 9
7 32 8
7 33 4
7 34 3
7 35 8
7 36 7
7 37 9
7 38 7
7 39 9
8 9 9
8 10 9
8 11 6
8 12 8
8 13 10
8 14 10
8 15 10
8 16 10
8 17 9
8 18 6
8 19 6
8 20 8
8 21 7
8 22 6
8 23 10
8 24 8
8 25 9
8 26 10
8 27 4
8 28 9
8 29 10
8 30 4
8 31 7
8 32 12
8 33 7
8 34 10
8 35 8
8 36 8
8 37 10
8 38 6
8 39 10
9 10 7
9 11 10
9 12 6
9 13 8
9 14 5
9 15 11
9 16 11
9 17 7
9 18 8
9 19 7
9 20 7
9 21 2
9 22 9
9 23 9
9 24 9
9 25 8
9 26 9
9 27 5
9 28 5
9 29 7
9 30 8
9 31 10
9 32 11
9 33 6
9 34 6
9 35 8
9 36 9
9 37 11
9 38 9
9 39 8
10 11 5
10 12 10
10 13 5
10 14 2
10 15 4
10 16 5
10 17 7
10 18 9
10 19 6
10 20 10
10 21 5
10 22 8
10 23 11
10 24 10
10 25 10
10 26 6
10 27 6
10 28 4
10 29 8
10 30 7
10 31 7
10 32 13
10 33 9
10 34 11
10 35 7
10 36 10
10 37 11
10 38 9
10 39 9
11 12 8
11 13 4
11 14 7
11 15 8
11 16 8
11 17 10
11 18 4
11 19 3
11 20 8
11 21 8
11 22 4
11 23 10
11 24 5
11 25 8
11 26 6
11 27 5
11 28 6
11 29 7
11 30 2
11 31 2
11 32 10
11 33 9
11 34 10
11 35 5
11 36 7
11 37 9
11 38 6
11 39 4
12 13 10
12 14 8
12 15 11
12 16 11
12 17 7
12 18 4
12 19 8
12 20 7
12 21 5
12 22 7
12 23 8
12 24 6
12 25 7
12 26 9
12 27 8
12 28 8
12 29 7
12 30 6
12 31 9
12 32 10
12 33 5
12 34 6
12 35 10
12 36 9
12 37 11
12 38 8
12 39 11
13 14 3
13 15 4
13 16 8
13 17 8
13 18 8
13 19 7
13 20 10
13 21 6
13 22 6
13 23 11
13 24 9
13 25 10
13 26 6
13 27 9
13 28 4
13 29 11
13 30 6
13 31 6
13 32 13
13 33 9
13 34 9
13 35 7
13 36 9
13 37 11
13 38 10
13 39 8
14 15 6
14 16 7
14 17 6
14 18 9
14 19 4
14 20 8
14 21 3
14 22 9
14 23 10
14 24 8
14 25 9
14 26 8
14 27 6
14 28 6
14 29 9
14 30 8
14 31 7
14 32 12
14 33 7
14 34 10
14 35 6
14 36 10
14 37 11
14 38 10
14 39 8
15 16 4
15 17 7
15 18 7
15 19 6
15 20 11
15 21 9
15 22 5
15 23 12
15 24 9
15 25 7
15 26 2
15 27 6
15 28 7
15 29 11
15 30 7
15 31 6
15 32 10
15 33 11
15 34 9
15 35 4
15 36 8
15 37 10
15 38 10
15 39 6
16 17 7
16 18 7
16 19 6
16 20 10
16 21 9
16 22 5
16 23 12
16 24 9
16 25 7
16 26 2
16 27 6
16 28 7
16 29 9
16 30 7
16 31 6
16 32 10
16 33 10
16 34 8
16 35 4
16 36 8
16 37 6
16 38 10
16 39 4
17 18 6
17 19 7
17 20 6
17 21 7
17 22 9
17 23 8
17 24 6
17 25 6
17 26 9
17 27 5
17 28 4
17 29 4
17 30 8
17 31 9
17 32 10
17 33 5
17 34 4
17 35 7
17 36 8
17 37 10
17 38 8
17 39 9
18 19 6
18 20 4
18 21 6
18 22 4
18 23 6
18 24 2
18 25 5
18 26 5
18 27 5
18 28 7
18 29 4
18 30 2
18 31 5
18 32 8
18 33 6
18 34 6
18 35 7
18 36 7
18 37 8
18 38 5
18 39 8
19 20 7
19 21 5
19 22 6
19 23 9
19 24 6
19 25 5
19 26 4
19 27 2
19 28 3
19 29 8
19 30 4
19 31 3
19 32 11
19 33 9
19 34 7
19 35 2
19 36 6
19 37 7
19 38 7
19 39 4
20 21 9
20 22 8
20 23 2
20 24 6
20 25 4
20 26 9
20 27 9
20 28 6
20 29 8
20 30 6
20 31 9
20 32 4
20 33 5
20 34 2
20 35 7
20 36 5
20 37 7
20 38 7
20 39 9
21 22 7
21 23 7
21 24 8
21 25 6
21 26 8
21 27 3
21 28 3
21 29 8
21 30 6
21 31 8
21 32 9
21 33 4
21 34 8
21 35 6
21 36 7
21 37 9
21 38 7
21 39 8
22 23 9
22 24 6
22 25 5
22 26 6
22 27 4
22 28 7
22 29 8
22 30 2
22 31 5
22 32 7
22 33 7
22 34 7
22 35 4
22 36 3
22 37 5
22 38 7
22 39 4
23 24 8
23 25 6
23 26 10
23 27 9
23 28 8
23 29 7
23 30 8
23 31 10
23 32 2
23 33 3
23 34 4
23 35 9
23 36 7
23 37 9
23 38 6
23 39 10
24 25 3
24 26 7
24 27 7
24 28 6
24 29 2
24 30 4
24 31 3
24 32 10
24 33 8
24 34 5
24 35 6
24 36 5
24 37 6
24 38 6
24 39 7
25 26 5
25 27 6
25 28 6
25 29 5
25 30 7
25 31 6
25 32 8
25 33 6
25 34 2
25 35 3
25 36 2
25 37 4
25 38 3
25 39 5
26 27 6
26 28 5
26 29 9
26 30 7
26 31 4
26 32 8
26 33 10
26 34 7
26 35 2
26 36 7
26 37 8
26 38 8
26 39 4
27 28 5
27 29 9
27 30 3
27 31 5
27 32 10
27 33 7
27 34 8
27 35 4
27 36 4
27 37 6
27 38 9
27 39 6
28 29 8
28 30 7
28 31 6
28 32 10
28 33 7
28 34 8
28 35 3
28 36 8
28 37 9
28 38 9
28 39 5
29 30 6
29 31 5
29 32 9
29 33 8
29 34 7
29 35 7
29 36 7
29 37 8
29 38 8
29 39 5
30 31 3
30 32 9
30 33 8
30 34 8
30 35 6
30 36 5
30 37 7
30 38 7
30 39 6
31 32 11
31 33 7
31 34 8
31 35 4
31 36 8
31 37 9
31 38 4
31 39 6
32 33 5
32 34 6
32 35 10
32 36 9
32 37 11
32 38 7
32 39 11
33 34 7
33 35 9
33 36 8
33 37 7
33 38 3
33 39 7
34 35 5
34 36 4
34 37 6
34 38 5
34 39 7
35 36 5
35 37 6
35 38 6
35 39 2
36 37 2
36 38 5
36 39 7
37 38 7
37 39 8
38 39 8
